Neighborhood,Full Name,Median Real Estate Price
Blmngtn,Bloomington,369633
Blueste,Bluestem,339433
BrDale,Briardale,265953
BrkSide,Brookside,215399
ClearCr,Clear Creek,339433
CollgCr,College Creek,327332
Crawfor,Crawford,339433
Edwards,Edwards,377362
Gilbert,Gilbert,419000
IDOTRR,Iowa DOT and Rail Road,95485
MeadowV,Meadow Village,270472
Mitchel,Mitchell,270472
NAmes,North Ames,230000
NoRidge,Northridge,363552
NPkVill,Northpark Villa,363552
NridgHt,Northridge Heights,369633
NWAmes,Northwest Ames,272752
OldTown,Old Town,215399
SWISU,South & West of Iowa State,390024
Sawyer,Sawyer,299041
SawyerW,Sawyer West,299041
Somerst,Somerset,363552
StoneBr,Stone Brook,369633
Timber,Timberland,339443
Veenker,Veenker,363552
